id,event_type,event_cause,latitude,longitude,requires_road_closure,priority,status,zone,corridor,junction,veh_type,hour,dayofweek,is_weekend,is_peak_hour,month,duration_mins,severity_score,address,start_datetime
FKID000000,unplanned,vehicle_breakdown,13.0400041,77.5180991,False,High,closed,Unknown_Zone,Tumkur Road,Unknown_Junction,lcv,17.0,3.0,0,0,3.0,,65.0,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",2024-03-07 17:01:48.111000+00:00
FKID000001,unplanned,vehicle_breakdown,12.9218755,77.6451585,False,High,resolved,Unknown_Zone,ORR East 1,Unknown_Junction,heavy_vehicle,4.0,1.0,0,0,1.0,10.37758925,60.0,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",2024-01-30 04:07:24.173000+00:00
FKID000002,unplanned,others,12.955622,77.5857083,False,Low,closed,Central Zone 2,Non-corridor,UrvashiJunction,not_applicable,6.0,5.0,1,0,11.0,,30.0,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",2023-11-11 06:18:03.343000+00:00
FKID000003,unplanned,tree_fall,13.0061469,77.5794348,True,Low,closed,Unknown_Zone,Non-corridor,Unknown_Junction,not_applicable,17.0,3.0,0,0,3.0,9465.174807333333,50.0,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2024-03-07 17:56:55.061000+00:00
FKID000004,unplanned,vehicle_breakdown,12.95398,77.5852333,False,Low,closed,Unknown_Zone,Non-corridor,LalbaghMainGateJunc,private_bus,4.0,1.0,0,0,1.0,38.74983805,30.0,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",2024-01-30 04:56:32.348000+00:00
FKID000005,unplanned,accident,13.0664854,77.5998755,False,Low,closed,North Zone 1,Non-corridor,Unknown_Junction,not_applicable,3.0,1.0,0,0,11.0,,30.0,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",2023-11-28 03:07:27.292421+00:00
FKID000006,unplanned,vehicle_breakdown,12.9328703,77.4879814,False,Low,closed,Unknown_Zone,Non-corridor,Unknown_Junction,bmtc_bus,7.0,1.0,0,0,1.0,,30.0,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",2024-01-30 07:26:26.739000+00:00
FKID000007,unplanned,others,12.973175,77.6003961,False,Low,closed,Unknown_Zone,Non-corridor,Unknown_Junction,not_applicable,6.0,1.0,0,0,1.0,24202.316523816666,30.0,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-01-30 06:05:59.339000+00:00
FKID000008,planned,public_event,12.97883573,77.59953728,False,High,closed,Unknown_Zone,CBD 2,QueensStatueCircle,not_applicable,,,0,0,,,65.0,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",
FKID000009,unplanned,vehicle_breakdown,13.0373543,77.6540442,False,Low,closed,Unknown_Zone,Non-corridor,Unknown_Junction,lcv,5.0,1.0,0,0,1.0,,30.0,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",2024-01-30 05:25:50.078000+00:00
FKID000010,unplanned,water_logging,13.0008457,77.6813712,False,High,closed,Unknown_Zone,ORR East 2,Unknown_Junction,not_applicable,18.0,3.0,0,1,3.0,9348.299649083334,65.0,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",2024-03-07 18:01:40.182000+00:00
FKID000011,unplanned,vehicle_breakdown,12.94457,77.5274017,False,High,closed,Unknown_Zone,ORR West 1,MysoreRd-RingRdJunc(Nayandanahallii),private_car,5.0,1.0,0,0,1.0,,65.0,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",2024-01-30 05:21:06.975000+00:00
FKID000012,unplanned,water_logging,12.9995223,77.6827499,False,High,active,Unknown_Zone,ORR East 2,Unknown_Junction,not_applicable,18.0,3.0,0,1,3.0,,75.0,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",2024-03-07 18:00:05.020000+00:00
FKID000013,unplanned,others,13.0418933,77.594705,False,High,closed,North Zone 1,ORR North 1,HebbalFlyoverJunc,not_applicable,19.0,1.0,0,1,12.0,,65.0,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",2023-12-26 19:15:28.124000+00:00
FKID000014,unplanned,pot_holes,12.975285,77.6256902,False,High,active,Unknown_Zone,Old Madras Road,Unknown_Junction,not_applicable,19.0,3.0,0,1,3.0,,75.0,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",2024-03-07 19:26:15.604000+00:00
FKID000015,unplanned,others,13.0633917,77.5933483,False,High,active,Unknown_Zone,Bellary Road 2,Unknown_Junction,not_applicable,19.0,3.0,0,1,3.0,,75.0,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",2024-03-07 19:10:21.930000+00:00
FKID000016,unplanned,others,13.063425,77.5933,False,High,active,Unknown_Zone,Bellary Road 2,Unknown_Junction,not_applicable,19.0,3.0,0,1,3.0,,75.0,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",2024-03-07 19:11:15.565000+00:00
FKID000017,unplanned,others,13.0254527,77.6417388,False,High,active,Unknown_Zone,ORR North 1,Unknown_Junction,not_applicable,19.0,3.0,0,1,3.0,,75.0,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",2024-03-07 19:18:29.890000+00:00
FKID000018,unplanned,tree_fall,12.9233517,77.5904883,False,Low,closed,Unknown_Zone,Non-corridor,Unknown_Junction,not_applicable,19.0,3.0,0,1,3.0,293.3450075,30.0,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",2024-03-07 19:39:29.764000+00:00
